Judul,Penulis,Pembimbing 1,Pembimbing 2,abstrak,Kata Kunci,Label
USULAN PERBAIKAN PADA PROSES PRODUKSI BOTOL KACA DNGAN MENGGUNAKAN METODE LEAN SIX SIGMA (Studi Kasus : di PT. IGLAS Gresik),NINA ARIS RIANA,"M. IMRON MUSTAJIB., S.T., M.T","ARI BASUKI., S.T., M.T","Penelitian ini membahas tentang penggunaan metode  lean six sigma  pada proses produksi botol PANJI 275 ml di PT. IGLAS. Selama proses produksi ditemukan pemborosan-pemborosan yang terjadi.  Pemborosan yang terjadi antara lain,  lead time  proses produksi yang terlalu lama,  dan terjadinya  defect  yang tinggi.  Tujuan dari penelitian ini  yaitu mengetahui penyebab  terjadinya  waste. Setelah diketahui penyebab-penyebab terjadinya  waste, maka selanjutnya dilakukan usulan perbaikan untuk mengurangi terjadinya  waste.  Dari hasil penelitian yang dilakukan, maka didapat nilai sigma sebesar 2,3703 untuk periode I dan 2,2786 untuk periode II. Sedangkan dengan usulan pada aktivitas proses produksi yaitu dengan menggabungkan aktivitas sortir dengan pendinginan (annealing) maka, dapat mengurangi waktu  lead time  periode I dari 215,45 jam menjadi 170,30 jam atau selisih sebesar 41,15 jam, dan untuk periode II yaitu 261,82 jam menjadi 201,70 jam atau selisih 60,12 jam.","lean six sigma, big picture mapping, proses produksi",CAI
SISTEM INFORMASI PENGELOLAAN STUDIO MUSIK BERBASIS WEB,R. Septian Dwianto Haryansah,"Firli Irhamni. S.T.,M.Kom",-,"Master studio musik adalah suatu bidang jasa yang bergerak di bidang Persewaan studio musik yang cukup berkembang. Selama ini masih menggunakan sistem manual dalam mencatat setiap transaksi yang terjadi. Oleh sebab itu tentunya akan mengakibatkan terjadinya banyak kesalahan dalam pencatatan transaksi, dan tidak adanya laporan pencatatan sewa sehingga sistem pencatatan ini bisa dikatakan masih belum efektif dan perlu dibuat suatu sistem yang dapat dikatakan secara jelas memperlihatkan keuntungan  dalam jangka waktu tertentu. Oleh karena itu dengan adanya Studio Musik ini berharap agar dapat meningkatkan kualitas sewa Studio Musik melalui web. Sistem Informasi Pengelolaan Studio Musik Berbasis Web akan membantu pelanggan untuk memesan studio musik secara online. Pelanggan tidak perlu datang langsung ke studio untuk melakukan pemesanan. Cukup membuka alamat web pelanggan sudah bisa memesan studio dan berlatih musik dan berharap dapat meningkatkan kualitas persewaan studio musik melalui web untuk mempermudah dan memuaskan pelanggan dengan harapan agar dapat memperluas jangkauan pasar dan dapat mempermudah pelanggan dalam proses studio musik.","Master Studio Musik, Pemesanan Studio dan Sewa Alat Sound Sistem Berbasis Web",RPL
Sistem Informasi Program Imunisasi (Studi kasus di Posyandu Karang Panasan Blega Kab. Bangkalan),Usayri,Wahyudi Setiawan S.KOM. M. KOM,-,"Imunisasi adalah pemberian kekebalan tubuh terhadap suatu penyakit dengan memasukkan sesuatu kedalam tubuh agar tubuh tahan terhadap penyakit yang sedang mewabah atau berbahaya bagi seseorang. Imunisasi berasal dari kata imun yang berarti kebal atau resisten. Pembangunan kesehatan pada hakekatnya adalah penyelenggaraan upaya kesehatan bagi setiap penduduk agar dapat terwujudkan kesehatan masyarakat yang optimal. Salah satu upaya untuk mencapai keadaan tersebut adalah dengan menurunkan angka kesakitan dan kematian bayi dan balita. Program imunisasi merupakan salah satu kegiatan yang mendapat prioritas dalam sistem kesehatan nasional. Program ini bertujuan untuk melindungi bayi dan balita dari PD3I (penyakit yang dapat di cegah dengan imunisasi) seperti TBC, difteri, pertusis, tetanus dan campak. Pada Tugas Akhir ini dibuat sistem informasi imunisasi ibu dan balita di posyandu Karang Panasan Blega Bangkalan. Sistem informasi Imunisasi ini terdiri dari imunisasi anak dan ibu dimana imunisasi anak terdiri dari imunisasi Hepatitis B, BCG, Polio, DPT, dan Campak sedangkan imunisasi ibu terdiri dari imunisasi TT I dan TT II, dengan adanya program ini masyarakat sekitar sangat terbantu dalam masalah kesehatan di desa tersebut.","sistem informasi, Posyandu, Imunisasi",RPL
SISTEM INFORMASI AKADEMIK SMK ALBAISUNY KOKOP BERBASIS WEB,kholid,Wahyudi Setiawan S.KOM. M. KOM,-,"Sistem Informasi Akademik merupakan suatu sistem yang meberikan layanan informasi yang berupa data akademik. Keberadaan sistem informasi ini penting. Dalam hal ini, SMK AL- BAISUNY KOKOP dijadikan sebagai tempat penelitian, karena sistem informasi akademik yang ada di sekolah tersebut belum terkelola dengan baik sehingga seringkali mempersulit dalam pelaksanaan aktifitas-aktifitas akademik yang ada, 1 seperti proses pengolahan data siswa, pengolahan data guru, pengolahan nilai siswa, pengolahan absen siswa, dan pengolahan data anggota ekstrakurikuler. Tujuan Tugas akhir ini adalah untuk memberikan kemudahan pada saat proses pengolahan data siswa dan guru, mempermudah dalam pengolahan nilai siswa, meminimalisir kesalahan dalam pencatatan data siswa, dan meningkatkan keamanan data siswa sehingga keamanan data siswa lebih terjamin. Dan dari tujuan penelitian tersebut dihasilkan beberapa kegunaan yang terdiri dari kegunaan praktis dan akademis.","Sistem informasi, SMK Al-Baisuny, Siswa, Pelajar",RPL
ANALISA DATA ANTARAN POS EXPRESS MENGGUNAKAN METODE RADIAL BASIS FUNCTION NEURAL NETWORK (RBF-NN) STUDY PT. POS INDONESIA SURABAYA,Siti Murtasiyah Warda,"Bain Khusnul Khotimah.,S.T.,M.Kom","Firli Irhamni, S.T., M.Kom.","PT. Pos Indonesia (Persero) merupakan salah satu perusahaan yang bergerak di bidang komunikasi. Saat ini, salah produk pelayanan PT. Pos Indonesia (Persero) adalah produk Pos Express.  Produk  Pos  Express ini diharapkan dapat diminati masyarakat dan dapat tetap bertahan bahkan  semakin menunjukkan keunggulan PT. Pos Indonesia (Persero). Untuk  itu perlu dilakukan  analisis untuk melihat pola perkembangan, kemajuan  yang telah ditunjukkan, bahkan untuk melihat dan memperoleh informasi, berupa peramalan  dalam waktu ke depan terhadap produk Pos Express yang masuk  ke kantor Mail  Processing Center  (MPC) Surabaya. Dalam  hal  ini analisis yang dilakukan adalah peramalan jumlah produk Pos Express dengan menggunakan Metode RBF-NN (Radial Basic function neural  network).  Hasil  analisa  pada  ujicoba  yang  dilakukan  menghasilkan  nilai  yang cukup optimal, salah satunya pada percobaan 2 inputan dengan hasil peramalan pada epoch ke-60  yang memperoleh hasil MSE : 0.124497 dan MAPE : 15.058923 dengan hasil ramal yang berjumlah 2587.9966.","Peramalan , Jaringan Syaraf Tiruan (JST), Radial Basis Function neural network (RBF-NN)",RPL
Deteksi Manusia Menggunakan Histogram of Oriented Gradients dan Naïve Bayes Classifier,R.A. Uluwiyah Nur Oktavianis,"Dr. Indah Agustien, S.Kom., M.Kom","Ari Kusumaningsih, S.T, M.T","Deteksi manusia merupakan  suatu aplikasi yang berfungsi untuk mendeteksi objek manusia dalam sebuah citra. Beberapa keuntungan yang dapat diambil dari kajian ini, yaitu penerapan pada video pengawasan. Namun, dalam video pengawasan manusia yang dideteksi dalam keadaan bergerak. Sedangkan aplikasi ini, hanya mendeteksi atau menemukan objek manusia dari background sebuah citra. Sehingga dalam proses pembuatan aplikasi ini diperlukan perhitungan – perhitungan khusus untuk mendapatkan hasil yang baik. Penelitian ini menggunakan dua tahap yaitu proses ekstraksi fitur dan klasifikasi. Proses ekstraksi fitur menggunakan metode Histogram Of Oriented Gradients (HOG). Pada prinsipnya HOG menggunakan histogram untuk memperoleh ekstraksi fitur tersebut, dengan  beberapa langkah diantarnya yaitu konversi citra, gradient compute dan normalisasi. Sedangkan pada metode Naive Bayes Classifier ini di gunakan untuk proses pengklasifikasian atau pencocokan citra. Sehingga pada hasil akhir dapat diketahui kelas citra yang telah diuji. Berdasarkan uji coba aplikasi menggunakan perhitungan distribusi gaussian probabilitas pada naive bayes classfier dengan nilai threshold = 12,13,14 dan 15 pada skenario 1, 2 dan 3 diperoleh rata – rata akurasi sebesar 68,65%.","Histogram Of Oriented Gradient, Naive Bayes Classifier",RPL
SISTEM PERAMALAN KEBUTUHAN OBAT MENGGUNAKAN METODE JARINGAN SYARAF TIRUAN ALGORITMA  BACKPROPAGATION DENGAN FUNGSI LYAPUNOV,Rahmatina Hidayati,"Bain Khusnul Khotimah, S.T.,M.Kom.","Haryanto, S.T.,M.T.","Obat merupakan salah satu kebutuhan penting dalam rumah sakit. Selama ini, kebutuhan pengumpulan data obat adalah masalah yang sering dihadapi oleh Farmasi yang memiliki kewenangan dalam pengadaan obat-obatan di rumah sakit Dr H. Slamet Martodirdjo Pamekasan. Dalam rangka menjamin ketersediaan obat perlu untuk mengatasi kebutuhan obat sesuai dengan jumlah yang dibutuhkan. Dalam rangka memenuhi tingkat kebutuhan untuk obat perlu untuk meramalkan masa depan pasokan obat dengan menggunakan data sebelumnya sebagai data untuk menentukan nilai kesalahan pelatihan metode yang digunakan. Dalam penelitian ini, metode yang akan digunakan untuk memprediksi kebutuhan obat adalah Jaringan Syaraf menggunakan algoritma Backpropagation dengan penambahan fungsi Lyapunov. Dengan penambahan fungsi ini, mampu memecahkan masalah yang terjadi dalam Backpropagation standar sering lambat untuk mencapai konvergensi. Dari uji coba yang dilakukan dengan 3 Skenario didapatkan hasil parameter terbaik untuk melakukan peramalan pada nama obat Ambroxol dengan  nilai (?) sebesar 13, learning rate 0.4 dan epoch=125 memperoleh  nilai MAPE  2.7% .  Obat Bisoprolol Tab 5mg dengan nilai (?) sebesar 2,  learning rater  0.5 dan epoch 150 memperoleh nilai MAPE  2,94089%.  Obat Cefixime Caps 100mg dengan  nilai (?) sebesar 4, learning rate   0.2  dan epoch 100  memperoleh nilai MAPE  1,10466%.",-,RPL
Pengenalan Tulisan Tangan Carakan Jawa Secara Real Time  Dengan Menggunakan Dominant Point,Nining Latifah,"Fitri Damayanti, S.Kom., M.Kom","Rima Tri Wahyuningrum, ST, MT","Pengenalan tulisan tangan adalah salah satu cabang dari pengenalan pola. Carakan merupakan tulisan yang cukup kompleks dan memiliki karakteristik yang lebih unik dibandingkan dengan tulisan latin, apalagi bila ditulis dengan tulisan tangan. Faktor yang menyebabkan proses pengenalan tulisan carakan sulit untuk dilakukan adalah variasi bentuk tulisan carakan dan memiliki kemiripan antar huruf. Hal ini memungkinkan adanya kesalahan dalam proses klasifikasi. Pada penelitian ini dibangun sistem pengenalan tulisan tangan secara real time dimana proses ekstraksi ciri menggunakan metode Dominant Point untuk mendapatkan ciri pada setiap karakter masukan. Metode ini pada dasarnya sistem akan membaca arah goresan pena yang didasarkan pada kumpulan titik. Pada proses klasifikasi serta pengenalan karakter menggunakan Fine Classification. Pada proses ini, pengenalan dilakukan dengan tiga tahap yaitu penilaian prakandidat, menyeleksi kandidat, lalu pencocokan karakter. Proses ini yang membuat sistem dengan cepat melakukan proses pengenalan. Dari uji coba yang dilakukan pada sistem, hasil terbaik untuk pengenalan citra huruf tulisan tangan carakan diperoleh dari data pelatihan sebanyak 600 citra pada data uji coba skenario ke 3 dengan akurasi sebesar 90%. Sedangkan hasil terendah diperoleh dari data pelatihan sebanyak 200 citra pada data uji coba skenario ke 1 dengan akurasi sebesar 40%. Hasil akurasi rata-rata dari sembilan skenario adalah sebesar 67,67%.","Handwriting Recognition, Carakan, Dominant Point,  Fine Classification",CAI
SISTEM PEROLEHAN CITRA BERBASIS ISI MENGGUNAKAN WAVELET HAAR DAN EUCLIDEAN DISTANCE,VEMBRI PRATAMA PRISTYONO,"BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","ABDULLAH BASUKI RAHMAT, S.Si., M.T.","Batik merupakan seni yang paling penting dalam kehidupan masyarakat Indonesia. Keanekaragaman batik berasal dari beberapa wilayah diseluruh indonesia sehingga menyimbolkan karakteristik ciri pola batik yang berbeda-beda dari masing-masing daerah tempat batik tumbuh dan berkembang. Tugas Akhir ini telah berhasil membuat suatu Sistem Perolehan Citra berbasis Isi (SPCI) dengan ciri tekstur yang bertujuan untuk mengetahui ciri dari pola batik tersebut. SPCI merupakan metode atau teknik pencarian gambar citra yang mirip (similar) dengan melakukan perbandingan antara citra query dengan citra yang ada dalam basis data. Pada Penelitian  ini menggunakan ciri tekstur sebagai proses pencarian kemiripan dari delapan wilayah citra batik yang  berbeda yaitu: Cirebon, Bali, Bangkalan, Pamekasan, Sumenep, Yogyakarta, Solo, dan Pekalongan sebagai obyek perolehan citra berbasis isi. Metode yang digunakan pada penelitian ini berbasis tekstur kasar atau lembut yaitu metode Wavelet Haar. Wavelet Haar merupakan metode dimana pada setiap citra didekomposisi menjadi 4 bagian yaitu LL, LH, HL, dan HH. Pada masing-masing bagian tersebut ditentukan nilainya. Sehingga dari hasil ekstraksi fitur akan dilakukan pengukuran kemiripan dengan citra basis data dengan menggunakan metode Euclidean Distance. Citra query dan citra basis data yang dipergunakan sebanyak 200 citra dengan delapan kelas citra didalamnya. Citra tertinggi dari hasil uji coba skenario-skenario pada penelitian ini dapat diambil kesimpulan bahwa akurasi tertinggi ada pada kelas bangkalan, cirebon, pamekasan dan solo. Jumlah citra yang dihasilkan dari perhitungan akurasi adalah 8 citra yang mirip dari 10 citra terbaik yang ditampilkan berdasarkan fitur citra Roughness, yaitu fitur untuk mengetahui apakah sebuah tekstur tersebut kasar atau lembut. Dengan hasil nilai akurasi tertinggi sebesar 80 %.""",-,CAI
RANCANG BANGUN SISTEM INFORMASI PEMETAAN TANAMAN PERTANIAN DI KABUPATEN BANGKALAN,RIDHA MARISTA,"HUSNI,S.Kom., M.T.","DIANA RAHMAWATI, S.T., M.T.","Kabupaten Bangkalan memiliki lahan pertanian seluas kurang lebih 98.683,38 Ha atau sekitar 79,03 % dari luas kabupaten Bangkalan seluruhnya. Lahan tersebut terdiri atas sawah teknis seluas 1.956,49 Ha tegal seluas 71.751,98 Ha, lahan kering mencapai 77.999,63 Ha yang tersebar di setiap kecamatan dengan topografi datar hingga berbukit. Namun demikian pembangunan pertanian mengalami hambatan karena selain kesuburan tanah rendah sebagian besar pembangunan pertanian masih tradisional  tanpa memerhatikan aspek kesesuaian lahan dan tanaman. Dalam tugas akhir ini dikembangkan sistem informasi pemetaan tanaman pertanian di kabupaten Bangkalan berbasis lahan. Penentuan jenis tanaman pada sistem berpedoman  pada hasil analisa kriteria kesesuaian jenis lahan dan jenis  tanaman dengan menggunakan metode matching dari Dinas Pertanian dan Peternakan Balai Penyuluhan Pertanian (BPP)  kabupaten Bangkalan. Data yang diperoleh diolah menjadi data spasial atau peta lokasi tanaman dengan memanfaatkan Google Maps sebagai aplikasi pemetaannya. Aplikasi Google Maps dipilih karena lebih memudahkan dalam mengetahui dan menentukan lokasi secara lebih detail. Penerapan aplikasi sistem informasi ini dapat membantu  pengguna khususnya petani dalam perencanaan dan pemilihan jenis tanaman yang sesuai untuk dikembangkan pada setiap kecamatan sehingga dapat meningkatkan produktivitas, kuantitas dan kualitas pertanian di kabupaten Bangkalan. ","Kabupaten Bangkalan, Sistem Informasi, Google Maps, Lahan dan Tanaman",RPL
sistem pakar penentuan jenis narkoba bedasarkan gejala fisik yang tampak menggunakan metode forward chaining berbasis web,Rio Ferry Hermawan,"Fitri Damayanti , s.kom, M.kom",-,"Narkotika merupakan zat yang sangat berbahaya bagi manusia, dan orang yang terkait kasus narkotika juga akan mendapatkan hukuman sesuai dengan UU No.22 Tahun 1997. Masalah hukum tindak pidana narkotika dalam UU tersebut cukup kompleks sehingga sulit bagi orang awam untuk mengerti dan memilah pasal-pasal yang mengatur kasus hukum. Sehingga perlu ada sebuah aplikasi sistem pakar untuk membantu memahami dan memilah pasal-pasal yang terlibat dalam kasus hukum. Pengembangan sistem pakar ini mengunakan metode  forward chaining, yaitu proses memulai pencarian dari premis atau data menuju pada kesimpulan. Metodologi yang digunakan dalam penelitian ini adalah metode forward chaining.bahasa pemrograman yang  digunakan PHP, basis data Mysql dan menggunakan Macromedia Dreamweaver. Tujuan dari sistem pakar ini adalah untuk menentukan jenis narkoba dari hasil gejala-gejala yang di timbulkan oleh narkoba.","narkotika, sistem pakar, forward chaining",RPL
ANALISIS DAN PENERAPAN ALGORITMA PARTICLE SWARM OPTIMIZATION PADA OPTIMASI PENJADWALAN MATA KULIAH DI JURUSAN TEKNIK INFORMATIKA UNIVERSITAS TRUNOJOYO MADURA,Qomarul Haryadi Irfan Rifa'i,"Bain Khusnul Hotimah S.T., M.Kom.","Arik Kurniawati, S.Kom, M.T.","Penjadwalan mata kuliah di program studi Teknik Informatika Universitas Trunojoyo Madura dilakukan pada setiap pergantian semester. Beberapa faktor yang mendukung penjadwalan mata kuliah antara lain dosen, mahasiswa, mata kuliah, serta jumlah ruang dan waktu yang tersedia. Permasalahan optimasi penjadwalan merupakan masalah yang sudah umum dan telah dipelajari dalam waktu yang lama, namun perlu dicari metodologi atau pendekatan teknis dan sampai saat ini telah berkembang beberapa solusi alternatif yang ditawarkan. Dalam penelitian ini digunakan algoritma Particle Swarm Optimized (PSO) utnuk melakukan optimasi pada jadwal kuliah. Karena algoritma PSO memiliki tool-tool yang cukup handal dengan penggunaan yang cukup mudah. Hasil penelitian menunjukkan bahwa algoritma Particle Swarm Optimiztion dapat diterapkan  dengan lebih baik pada optimasi penjadwalan mata kuliah dengan memaksimalkan penggunaan parameter-parameter dari algoritma Particle Swarm Optimiztion yaitu apabila nilai w besar maka untuk mengoptimalkan nilai velocity gunakan nilai kecil pada c1 dan c2, begitu juga sebaliknya bila nilai w kecil maka gunakan nilai besar pada c1 dan c2.""",-,CAI
AUTO LEVELING BERBASIS FINITE STATE MACHINE (FSM) PADA GAME PEMBELAJARAN BAHASA INGGRIS,Syafrial Nur Maulana,"Arik Kurniawati, S.Kom.,M.T.","Ari Kusumaningsih, S.T., M.T.","Pengetahuan tentang bahasa Inggris pada jaman globalisasi saat ini sangatlah penting dan menjadi salah satu sarana untuk berkompetisi di segala bidang. Namun demikian, seringkali proses pembelajaran tidak dapat berjalan dengan lancar dikarenakan kurangnya metode pembelajaran yang kurang interaktif. Berangkat dari permasalahan tersebut maka dibangunlah sebuah game yang berunsur edukasi. Game berunsur edukasi harusnya menyenangkan dan tidak terlalu mudah atau terlalu sulit dimainkan  salah satunya dengan penerapan Artifical Intelegent (kecerdasan buatan). Dalam penelitian ini adalah bagaimana pemain mendapatkan tantangan (soal) sesuai dengan kemampuannya (pelevelan mandiri/auto leveling). Sehingga pemain tidak merasa frustasi (jika soalnya terlalu sulit) atau bosan (jika soalnya terlalu mudah). Metode yang dapat digunakan untuk membuat game yang mempunyai pelevelan mandiri adalah metode Finite State Machine (FSM) dan seluruhnya akan diimplementasikan kedalam game engine XNA. Dalam game pembelajaran bahasa Inggris ini terdapat speaking dan reading yang akan memanfaatkan teknologi speech recognition yang terdapat didalam XNA game studio. Dengan melakukan uji coba sistem kepada responden menghasilkan beberapa hal menjadikan game sebagai salah satu media pembelajaran, terciptanya game yang menarik dan menjadi game yang adaptif dengan penerapan perlevelan mandiri. Penggunaan speech recognition dapat meningkatkan kemampuan berbicara dalam bahasa Inggris. ","Education Game, Automatic Leveling, FSM (Finite State Machine), XNA game engine, Speech Recognition",RPL
Rancang Bangun Sistem Pendukung Keputusan Penentuan Pemberian Bantuan RASKIN Menggunakan Metode SMARTER (Studi Kasus : Kecamatan Batuan Kabupaten Sumenep),Ayu Winda Istara,"Andharini Dwi Cahyani, S.Kom, M.Kom","Fika Hastarita Rachman, ST, M.Eng","Seiring dengan perubahan dalam paradigma pembangunan ekonomi yang tidak berfokus dalam penanggulangan masalah kemiskinan, maka sudah sepantasnya apabila pemerintah dituntut untuk dapat mengentaskan masalah kemiskinan melalui program-program pengentasan kemiskinan. Salah satu dari banyak program pengentasan kemiskinan yang dilaksanakan oleh pemerintah yaitu program RASKIN. Metode yang dipakai dalam penelitian ini adalah SMARTER (Simple Multi Attribute Rating Technique Exploiting Ranks). Metode SMARTER merupakan bagian dari metode Multiple Criteria Decision Making (MCDM). Metode ini dipilih karena metode SMARTER merupakan suatu bentuk model pendukung keputusan yang digunakan dalam pengambilan keputusan dengan kriteria yang beragam yang nantinya dapat digunakan untuk memecahkan masalah pengambilan keputusan. Penelitian yang dilakukan di Kecamatan Batuan, Kabupaten Sumenep ini menggunakan parameter kemiskinan yaitu sumber air minum, berapa kali makan per hari, kemampuan membeli daging, Ayam, susu per minggu, bahan bakar masak, jumlah pakaian baru, sumber penerangan, aset minimal, lapangan pekerjaan, tempat buang air besar, jenis lantai rumah, jenis dinding rumah, luas lantai rumah, kemampuan berobat jika sakit dan ijazah terakhir.  Pada penelitian ini, sistem pendukung keputusan menggunakan metode SMARTER mampu menganalisa kriteria yang nantinya dapat menentukan penduduk mana yang layak menerima bantuan RASKIN. Sistem ini memiliki tingkat akurasi 80,5% jika dibandingkan dengan data rill pada tahun 2012.","RASKIN, Sistem Pendukung Keputusan. SMARTER",CAI
RANCANG BANGUN APLIKASI SEARCH ENGINE DAN SISTEM PENDETEKSI PLAGIARISME MENGGUNAKAN METODE LSA-SOM,ARIS PRAMA AULIA,"Hermawan, ST., M.Kom","Dr. Indah Agustien S, S.Kom, M.Kom.","Plagiarisme adalah mencuri gagasan, kata-kata, kalimat atau hasil penelitian orang lain dan menyajikannya seolah-olah sebagai karya sendiri. Metode LSA merupakan salah satu metode dari beberapa metode untuk pendeteksian plagiarisme. Metode Latent Semantic Analysis (LSA) adalah sebuah teori dan metode untuk menggali dan mempresentasikan konteks yang digunakan sebagai sebuah arti kata dengan memanfaatkan komputasi statistik untuk sejumlah corpus yang besar. Penggunaan LSA konvensional bersifat sekuensial dikarenakan masih belum adanya klasterisasi sehingga proses analisa akan dilakukan secara global pada keseluruhan dokumen yang tentunya memerlukan waktu komputasi yang besar. Untuk itu dapat digunakan teknik klasifikasi tak terawasi seperti penggunaan Self Organizing Map (SOM) dan pengujian similaritas secara global hanya dilakukan pada centroid masing-masing kluster untuk kemudian dilakukan pengujian similaritas secara lokal pada klaster yang terpilih yang menjadi bagian dari klaster tersebut. Pada hasil penelitian  LSA-SOM memiliki rata-rata precision 94.4% dan recall 64.04%. ","Cosine Similarity, Latent Semantic Analysis, plagiarisme Self Organizing Map, Singular Value Decomposition",RPL
PENGEMBANGAN VIRTUAL CLASS UNTUK PEMBELAJARAN INTERAKTIF MATA PELAJARAN MATEMATIKA SISWA SMP BERBASIS SECOND LIFE,Dwi Adi Permana,"Arik Kurniawati,S.Kom, M.Kom","Dr. Indah Aguestien S, S.Kom, M.Kom.","Internet berkembang dengan cepat beberapa tahun belakangan ini. Banyak hal yang dapat dilakukan dengan internet dari bergabung dengan situs jejaring sosial, bermain games online, belanja melalui shop online, download dan browsing info-info yang dibutuhkan. Bukan hanya itu dunia pendidikan juga ikut meramaikan dunia internet, seperti pembelajaran jarak jauh, virtual class, games pendidikan dan lain-lain. Dalam tugas akhir ini membangun aplikasi virtual class matematika untuk siswa SMP berbasis second life. Tujuan utama dari tugas akhir ini adalah untuk membuat suatu media pembelajaran dengan menerapkan teknologi yang ada yaitu, mata pelajaran yang virtual class matematika berbasis second life. Virtual Class ini dibuat secara online dengan menggunakan Second Life. Aplikasi virtual class ini terbagi dari 6 bab materi mata pelajaran matematika, khususnya untuk siswa SMP kelas VII. Didalam virtual class ini terdapat soal evaluasi untuk setiap babnya.Jika nilai evaluasi kurang dari KKM (Kriteria Kelulusan Minimal) maka siswa wajib melakukan pendalaman materi dan evaluasi ulang. Disini KKM nya menggunakan KKM mata pelajaran matematika untuk siswa VII SMP Negeri 1 Tulangan, yaitu dengan Nilai 75. Kendala dari uji coba aplikasi ini adalah kurangnya koneksi internet yang kuat, karena Aplikasi bersifat online dan memperlukan konekasi internet yang lumayan tinggi","Internet, Virtual Class, Second Life, matematika",CAI
PROGRAM KENAIKAN PANGKAT PEGAWAI BALAI BESAR PELAKKSANAAN JALAN NASIONAL V SURABAYA BERBASIS DESKTOP,FIRMAN SURYADI,"Achmad Ubaidillah, MS, S.T.,MT",-,"Kondisi administrasi sekarang sangat kurang maksimal dalam mencari kenaikan pangkat pegawai di BBPJN V ( Balai Besar Pelaksanaan Jalan Nasional V Surabaya ) dikarenakan sistem yang ada masih berupa data. Mengingat tenaga yang harus dikeluarkan dalam mencari informasi tentang kepegawaian ini terlalu lama untuk diketahui dan terbatasnya waktu pencarian, merupakan kendala yang harus dibuat solusinya. Hal tersebut yang menjadi latar belakang untuk merancang dan membuat Program Kenaikan Pangkat di Balai Besar Pelaksanaan Jalan Nasional V Surabaya. Program ini dibuat untuk menaikkan pangkat pegawai sesuai dengan syarat dan ketentuan yang diimplementasikan ke dalam program kenaikan pangkat ini. Hasil yang diharapkan dari pembuatan Program Kenaikan Pangkat di Balai Besar Pelaksanaan Jalan Nasional V Surabaya ini, dapat mempermudah dalam menentukan layak tidaknya seorang pegawai dinaikkan pangkatnya.","BBPJN V, Kenaikan Pangkat, Kepegawaian",RPL
IMPLEMENTASI PERFORMANCE PRISM UNTUK SISTEM PENGUKURAN KINERJA PERUSAHAAN,Luhur Priyantoko Aji,"BAIN KHUSNUL KHOTIMAH, S.T., M.Kom.","Khamdi Mubarok, S.T., M.Eng.","Pengukuran kinerja adalah proses di mana organisasi menetapkan parameter hasil untuk dicapai oleh program, investasi, dan akusisi yang dilakukan. Dalam pengukuran kinerja perusahaan diperlukan indikator yang jelas sehingga bisa diketahui peningkatan atau penurunan indeks produktivitas yang menjadi tolak ukur perusahaan dalam mengukur kinerjanya. Pengukuran kinerja salah satunya diterapkan pada PT. Preshion Engineering Plastec Surabaya supaya  tetap  dapat menguasai  pasar  dan  mempertahankan  pelanggannya. Dengan menggunakan Performance Prism, metode ini mempertimbangkan semua kebutuhan dan keinginan dari semua stakeholder yang nantinya akan dijadikan dasar untuk menyusun Key Performance Indicators (KPI) kemudian KPI tersebut dibobotkan dengan ANP selanjutnya dilakukan scoring dengan Objective Matrix (OMAX) untuk mengetahui indeks produktivitas dari kinerja perusahaan. Hasil dari penelitian ini adalah dalam mengevaluasi kinerja PT Preshion Engineering Plastec Surabaya didapatkan 6 stakeholder dengan 19 subkriteria atau KPI. Dari 19 KPI tersebut, KPI Profit Growth  mendapatkan bobot normal paling tinggi yaitu 0,05307 dan KPI jumlah rapat bobotnya paling rendah yaitu 0,05262. Indeks produktivitas perusahaan pada tahun 2010 mengalami penurunan sebesar 0,29642 dari tahun 2009. Ini diakibatkan sebanyak 15 KPI pencapaiannya dibawah target. Namun untuk tahun 2011 indeks produktivitas perusahaan mengalami kenaikan dari tahun 2010 sebesar 0,420018.""",-,CAI
